Iteration	Posterior	Likelihood	Prior	anagenetic_dispersal_21	anagenetic_dispersal_31	anagenetic_dispersal_54	anagenetic_dispersal_64	extinction_rates[1]	extinction_rates[2]	extinction_rates[3]	extinction_rates[4]	extinction_rates[5]	extinction_rates[6]	hidden_rate_1	hidden_rate_2	root_frequencies[1]	root_frequencies[2]	root_frequencies[3]	root_frequencies[4]	root_frequencies[5]	root_frequencies[6]	speciation_allopatry	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	speciation_rates[4]	speciation_rates[5]	speciation_rates[6]	speciation_rates[7]	speciation_rates[8]	speciation_rates[9]	speciation_rates[10]	speciation_rates[11]	speciation_rates[12]	speciation_rates[13]	speciation_rates[14]	speciation_rates[15]	speciation_rates[16]	speciation_wide_sympatry	total_extinction	total_speciation
75	-5789.357	-5784.695	-4.661363	0.01404751	0.09287876	0.3632651	0.05881735	0	0.0476835	0.0809088	0	2.1733	0.0306269	0.002959395	2.881158	0.125691	0.00648041	0.117628	0.445622	0.172314	0.132265	0.115333	0.201559	0.201559	0.201559	0.201559	0.201559	0.201559	0.0576665	0.0576665	0.201559	0.201559	0.201559	0.201559	0.201559	0.201559	0.0576665	0.0576665	0.4031178	2.332515	2.649373
150	-5786.439	-5783.742	-2.696303	0.0174492	0.06434892	0.4307213	0.09287711	0	0.0127219	0.0598643	0	0.138071	0.0943025	0.002826264	4.998935	0.101769	0.028126	0.0722319	0.437455	0.159352	0.201065	0.09526515	0.183105	0.183105	0.183105	0.183105	0.183105	0.183105	0.0476326	0.0476326	0.183105	0.183105	0.183105	0.183105	0.183105	0.183105	0.0476326	0.0476326	0.3662097	0.3049594	2.387789
225	-5784.091	-5786.049	1.957536	0.009717483	0.09973246	0.03232609	0.2808265	0	0.0218393	0.0292716	0	0.072421	0.117309	0.01644923	4.212606	0.203072	0.033449	0.0603691	0.322561	0.172483	0.208066	0.09070234	0.178036	0.178036	0.178036	0.178036	0.178036	0.178036	0.0453512	0.0453512	0.178036	0.178036	0.178036	0.178036	0.178036	0.178036	0.0453512	0.0453512	0.3560729	0.2408408	2.317842
300	-5783.264	-5784.795	1.530519	0.01117488	0.09073669	0.04906223	0.05158931	0	0.0412173	0.037919	0	0.5119	0.182351	0.01887838	5.157615	0.0108468	0.0294107	0.177656	0.137919	0.457042	0.187125	0.1260576	0.190285	0.190285	0.190285	0.190285	0.190285	0.190285	0.0630288	0.0630288	0.190285	0.190285	0.190285	0.190285	0.190285	0.190285	0.0630288	0.0630288	0.3805691	0.7733873	2.53553
375	-5786.617	-5788.329	1.711932	0.01087554	0.1001879	0.6508937	0.2152155	0	0.045385	0.0407465	0	0.0160558	0.322802	0.003807191	0.6524813	0.210084	0.0301728	0.133584	0.0236298	0.12515	0.477379	0.07622354	0.181995	0.181995	0.181995	0.181995	0.181995	0.181995	0.0381118	0.0381118	0.181995	0.181995	0.181995	0.181995	0.181995	0.181995	0.0381118	0.0381118	0.3639906	0.4249898	2.336391
450	-5784.266	-5786.348	2.081833	0.01050234	0.1028583	0.09028737	0.07305384	0	0.050238	0.0805057	0	0.922973	0.371935	0.005970791	1.443466	0.104873	0.121193	0.13382	0.0598882	0.18634	0.393886	0.07191401	0.200431	0.200431	0.200431	0.200431	0.200431	0.200431	0.035957	0.035957	0.200431	0.200431	0.200431	0.200431	0.200431	0.200431	0.035957	0.035957	0.4008615	1.425652	2.548997
525	-5785.026	-5788.104	3.077981	0.01147151	0.0561202	0.1989994	0.2267059	0	0.0454247	0.0418707	0	0.172234	0.186829	0.01190434	3.509945	0.0551987	0.180478	0.0125395	0.366964	0.0527875	0.332032	0.1330442	0.195384	0.195384	0.195384	0.195384	0.195384	0.195384	0.0665221	0.0665221	0.195384	0.195384	0.195384	0.195384	0.195384	0.195384	0.0665221	0.0665221	0.3907673	0.4463584	2.610692
600	-5787.853	-5788.39	0.5374887	0.00655812	0.09726461	0.1227725	2.165152	0	0.0362017	0.050759	0	0.37469	0.159968	0.01318755	1.142248	0.325776	0.0220779	0.363727	0.0220176	0.202415	0.0639869	0.09763958	0.187886	0.187886	0.187886	0.187886	0.187886	0.187886	0.0488198	0.0488198	0.187886	0.187886	0.187886	0.187886	0.187886	0.187886	0.0488198	0.0488198	0.3757726	0.621618	2.449915
675	-5787.382	-5788.902	1.519487	0.007847177	0.07432823	0.1281763	0.315952	0	0.0334021	0.0247205	0	0.237188	0.0528011	0.01324452	3.615428	0.12745	0.224617	0.0216987	0.0876272	0.470711	0.0678959	0.1591358	0.173182	0.173182	0.173182	0.173182	0.173182	0.173182	0.0795679	0.0795679	0.173182	0.173182	0.173182	0.173182	0.173182	0.173182	0.0795679	0.0795679	0.3463631	0.3481118	2.396451
750	-5784.815	-5784.874	0.05963823	0.01418875	0.07199102	0.3643283	0.9113883	0	0.0394067	0.0313071	0	0.0615937	0.139456	0.008830477	3.524341	0.0625395	0.0182952	0.144364	0.247601	0.352945	0.174255	0.07517544	0.188103	0.188103	0.188103	0.188103	0.188103	0.188103	0.0375877	0.0375877	0.188103	0.188103	0.188103	0.188103	0.188103	0.188103	0.0375877	0.0375877	0.376206	0.2717634	2.407587
825	-5788.043	-5786.378	-1.66546	0.01998031	0.05936685	0.3169877	0.1365445	0	0.0217817	0.035385	0	2.77608	0.0894835	0.007377309	2.07754	0.426742	0.0550278	0.159558	0.0693543	0.173175	0.116143	0.1325242	0.192947	0.192947	0.192947	0.192947	0.192947	0.192947	0.0662621	0.0662621	0.192947	0.192947	0.192947	0.192947	0.192947	0.192947	0.0662621	0.0662621	0.3858947	2.92273	2.580417
900	-5792.107	-5783.561	-8.546239	0.01436607	0.07730545	0.2740258	2.47192	0	0.0308492	0.0313587	0	0.12449	0.677348	0.01179895	9.937	0.171788	0.297211	0.229622	0.0698076	0.201682	0.0298895	0.1304912	0.203517	0.203517	0.203517	0.203517	0.203517	0.203517	0.0652456	0.0652456	0.203517	0.203517	0.203517	0.203517	0.203517	0.203517	0.0652456	0.0652456	0.4070344	0.8640459	2.703189
975	-5782.403	-5786.494	4.091196	0.0132165	0.08289898	0.07846026	0.1542655	0	0.0333879	0.0633456	0	0.154015	0.245914	0.01331797	3.698386	0.15319	0.0175854	0.196302	0.0410031	0.372459	0.219461	0.08177876	0.181587	0.181587	0.181587	0.181587	0.181587	0.181587	0.0408894	0.0408894	0.181587	0.181587	0.181587	0.181587	0.181587	0.181587	0.0408894	0.0408894	0.3631734	0.4966618	2.342598
1050	-5789.415	-5786.768	-2.646415	0.01033053	0.08063207	0.03274313	0.9206269	0	0.0676942	0.0369674	0	0.220161	0.778865	0.01887246	5.415647	0.0890714	0.174909	0.0997268	0.330978	0.0225716	0.282743	0.0838408	0.210589	0.210589	0.210589	0.210589	0.210589	0.210589	0.0419204	0.0419204	0.210589	0.210589	0.210589	0.210589	0.210589	0.210589	0.0419204	0.0419204	0.4211778	1.103688	2.694748
1125	-5787.863	-5786.242	-1.620849	0.01263179	0.0732996	0.2631524	0.08931662	0	0.0206025	0.0591744	0	0.0956861	0.869357	0.02506654	8.550713	0.3849	0.067411	0.0584191	0.131196	0.0216046	0.33647	0.1468489	0.178117	0.178117	0.178117	0.178117	0.178117	0.178117	0.0734244	0.0734244	0.178117	0.178117	0.178117	0.178117	0.178117	0.178117	0.0734244	0.0734244	0.3562339	1.04482	2.431101
1200	-5784.83	-5786.392	1.561894	0.01231629	0.07430757	0.02222004	0.03673262	0	0.0162545	0.0146818	0	0.173969	0.0359105	0.01592685	2.535631	0.0759254	0.260746	0.075226	0.0348035	0.53103	0.0222693	0.2227086	0.18974	0.18974	0.18974	0.18974	0.18974	0.18974	0.111354	0.111354	0.18974	0.18974	0.18974	0.18974	0.18974	0.18974	0.111354	0.111354	0.3794792	0.2408155	2.722293
1275	-5784.482	-5786.412	1.930642	0.02208386	0.07593798	0.09363061	0.4424109	0	0.0218708	0.0569101	0	0.0930424	0.193958	0.004677915	2.806831	0.00873953	0.193504	0.0554076	0.21768	0.159885	0.364785	0.1360463	0.189853	0.189853	0.189853	0.189853	0.189853	0.189853	0.0680232	0.0680232	0.189853	0.189853	0.189853	0.189853	0.189853	0.189853	0.0680232	0.0680232	0.3797054	0.3657815	2.550325
1350	-5784.159	-5785.063	0.9044622	0.007242096	0.08832359	0.4455688	0.1980465	0	0.059099	0.0624917	0	0.235164	0.146496	0.01244873	4.320546	0.301377	0.0593106	0.0682978	0.316891	0.184037	0.0700866	0.08422645	0.194369	0.194369	0.194369	0.194369	0.194369	0.194369	0.0421132	0.0421132	0.194369	0.194369	0.194369	0.194369	0.194369	0.194369	0.0421132	0.0421132	0.3887384	0.5032511	2.500883
1425	-5786.279	-5788.019	1.739389	0.0159106	0.07779808	0.306532	0.03935585	0	0.03783	0.0180833	0	0.251881	0.613102	0.01553808	2.738485	0.417907	0.00867418	0.0925117	0.170313	0.0439625	0.266631	0.1614765	0.19058	0.19058	0.19058	0.19058	0.19058	0.19058	0.0807382	0.0807382	0.19058	0.19058	0.19058	0.19058	0.19058	0.19058	0.0807382	0.0807382	0.3811609	0.9208959	2.609918
1500	-5792.547	-5789.923	-2.624096	0.01207987	0.0999008	2.181097	0.399039	0	0.0699864	0.0958002	0	0.402925	0.0975085	0.01044971	3.157736	0.0142928	0.33383	0.0039643	0.153637	0.0735859	0.42069	0.04023476	0.201615	0.201615	0.201615	0.201615	0.201615	0.201615	0.0201174	0.0201174	0.201615	0.201615	0.201615	0.201615	0.201615	0.201615	0.0201174	0.0201174	0.4032298	0.6662203	2.499848
1575	-5786.857	-5785.144	-1.713126	0.01408556	0.08949081	1.402836	0.2397148	0	0.0315537	0.0376886	0	0.404144	0.294945	0.002238625	0.6607594	0.0192109	0.102319	0.241385	0.126324	0.0996942	0.411067	0.1513689	0.184539	0.184539	0.184539	0.184539	0.184539	0.184539	0.0756844	0.0756844	0.184539	0.184539	0.184539	0.184539	0.184539	0.184539	0.0756844	0.0756844	0.3690788	0.7683313	2.517211
1650	-5785.077	-5787.748	2.670806	0.01018236	0.07118234	0.105084	0.9659847	0	0.0206979	0.0285549	0	0.0398418	0.0409697	0.008966426	0.9461156	0.0142537	0.120004	0.0744677	0.0998564	0.246621	0.444797	0.2175124	0.187506	0.187506	0.187506	0.187506	0.187506	0.187506	0.108756	0.108756	0.187506	0.187506	0.187506	0.187506	0.187506	0.187506	0.108756	0.108756	0.375012	0.1300643	2.685097
1725	-5785.902	-5785.34	-0.5619699	0.009181304	0.05478528	0.2402504	1.516454	0	0.0232314	0.0230276	0	0.127478	0.0634947	0.00645611	1.418246	0.229142	0.446971	0.0170472	0.0835286	0.0768194	0.146492	0.1588169	0.185667	0.185667	0.185667	0.185667	0.185667	0.185667	0.0794085	0.0794085	0.185667	0.185667	0.185667	0.185667	0.185667	0.185667	0.0794085	0.0794085	0.3713336	0.2372319	2.545636
1800	-5789.205	-5787.566	-1.63918	0.01334082	0.07199266	0.07771273	0.3050488	0	0.0262297	0.0796291	0	1.22404	1.3919	0.01830058	2.452798	0.00522949	0.321064	0.0135876	0.298862	0.198547	0.162709	0.05150271	0.197449	0.197449	0.197449	0.197449	0.197449	0.197449	0.0257514	0.0257514	0.197449	0.197449	0.197449	0.197449	0.197449	0.197449	0.0257514	0.0257514	0.3948986	2.721795	2.472397
1875	-5789.613	-5786.183	-3.429704	0.02088215	0.06106637	0.02217695	0.6145918	0	0.0205742	0.0381069	0	0.052044	0.693996	0.03413749	9.976487	0.00740149	0.233764	0.172411	0.319074	0.203456	0.0638938	0.1349952	0.194424	0.194424	0.194424	0.194424	0.194424	0.194424	0.0674976	0.0674976	0.194424	0.194424	0.194424	0.194424	0.194424	0.194424	0.0674976	0.0674976	0.3888486	0.8047209	2.603082
1950	-5786.393	-5786.361	-0.03197165	0.0105685	0.08832995	0.1260006	0.1304776	0	0.0569291	0.0485589	0	0.0874046	0.289128	0.01283612	8.062558	0.0100513	0.0377283	0.165671	0.443345	0.226686	0.116519	0.2298568	0.202435	0.202435	0.202435	0.202435	0.202435	0.202435	0.114928	0.114928	0.202435	0.202435	0.202435	0.202435	0.202435	0.202435	0.114928	0.114928	0.4048708	0.4820201	2.888938
2025	-5783.367	-5788.063	4.696017	0.01429681	0.06783541	0.2858879	0.2054975	0	0.0448297	0.0744544	0	0.0930716	0.189458	0.02571145	3.835971	0.640392	0.107398	0.0431871	0.0284122	0.0681631	0.112447	0.07530961	0.200879	0.200879	0.200879	0.200879	0.200879	0.200879	0.0376548	0.0376548	0.200879	0.200879	0.200879	0.200879	0.200879	0.200879	0.0376548	0.0376548	0.4017576	0.4018132	2.561165
2100	-5783.688	-5787.578	3.889264	0.01821017	0.07926812	0.05315644	0.04302216	0	0.0193414	0.0408587	0	0.336314	0.406711	0.003771534	0.6330412	0.139774	0.36096	0.233404	0.023399	0.0688147	0.173648	0.07554989	0.198809	0.198809	0.198809	0.198809	0.198809	0.198809	0.0377749	0.0377749	0.198809	0.198809	0.198809	0.198809	0.198809	0.198809	0.0377749	0.0377749	0.3976173	0.8032253	2.536804
2175	-5782.476	-5786.905	4.428753	0.01119559	0.08598946	0.1598623	0.8608911	0	0.0319219	0.0522088	0	0.0529672	0.154572	0.009569356	1.111781	0.23447	0.12158	0.0863243	0.389337	0.0764615	0.0918278	0.09072738	0.1939	0.1939	0.1939	0.1939	0.1939	0.1939	0.0453637	0.0453637	0.1939	0.1939	0.1939	0.1939	0.1939	0.1939	0.0453637	0.0453637	0.3878003	0.2916703	2.508257
2250	-5790.214	-5787.868	-2.345754	0.01922685	0.04706273	0.08070707	1.488375	0	0.0119341	0.0347658	0	0.18588	0.179497	0.02580378	6.275869	0.124888	0.0076532	0.53414	0.118926	0.197951	0.016442	0.1572034	0.183454	0.183454	0.183454	0.183454	0.183454	0.183454	0.0786017	0.0786017	0.183454	0.183454	0.183454	0.183454	0.183454	0.183454	0.0786017	0.0786017	0.3669078	0.4120769	2.515854
2325	-5790.311	-5789.861	-0.4505485	0.01124676	0.06881986	0.6964903	0.3513397	0	0.0271979	0.0828618	0	0.365439	0.304212	0.02750755	4.495352	0.0323228	0.217076	0.467945	0.148921	0.0832146	0.0505213	0.1649755	0.193816	0.193816	0.193816	0.193816	0.193816	0.193816	0.0824878	0.0824878	0.193816	0.193816	0.193816	0.193816	0.193816	0.193816	0.0824878	0.0824878	0.3876312	0.7797102	2.655738
2400	-5784.252	-5784.423	0.1708334	0.01028936	0.0815517	0.15464	0.5737477	0	0.0450669	0.0344553	0	0.194489	0.262061	0.01010136	4.122823	0.0369894	0.132407	0.00468394	0.384718	0.0382673	0.402934	0.1648443	0.194875	0.194875	0.194875	0.194875	0.194875	0.194875	0.0824221	0.0824221	0.194875	0.194875	0.194875	0.194875	0.194875	0.194875	0.0824221	0.0824221	0.3897506	0.5360714	2.668192
2475	-5790.315	-5787.065	-3.250203	0.01617408	0.09686036	0.5997031	0.1941516	0	0.0182739	0.0512558	0	0.328279	0.665574	0.003055163	2.327463	0.162642	0.25664	0.00799015	0.376363	0.111427	0.0849371	0.1640941	0.203063	0.203063	0.203063	0.203063	0.203063	0.203063	0.082047	0.082047	0.203063	0.203063	0.203063	0.203063	0.203063	0.203063	0.082047	0.082047	0.406125	1.063382	2.764938
2550	-5786.647	-5785.683	-0.9645609	0.01741594	0.07866428	0.05644366	0.8903953	0	0.0170248	0.0533171	0	0.473423	0.120134	0.007025293	3.369075	0.133892	0.168473	0.0920808	0.173371	0.100189	0.331995	0.05936717	0.187811	0.187811	0.187811	0.187811	0.187811	0.187811	0.0296836	0.0296836	0.187811	0.187811	0.187811	0.187811	0.187811	0.187811	0.0296836	0.0296836	0.3756221	0.6638988	2.372467
2625	-5786.221	-5791.555	5.334166	0.01916571	0.06560888	0.1639025	0.2820256	0	0.0324403	0.0405722	0	0.099628	0.403971	0.00975442	1.544108	0.404492	0.115479	0.0619873	0.101344	0.261027	0.0556712	0.1573823	0.176559	0.176559	0.176559	0.176559	0.176559	0.176559	0.0786912	0.0786912	0.176559	0.176559	0.176559	0.176559	0.176559	0.176559	0.0786912	0.0786912	0.3531172	0.5766119	2.433468
2700	-5790.909	-5789.416	-1.493682	0.01541617	0.06015212	1.228755	0.2174872	0	0.0391453	0.0336579	0	0.173484	0.623336	0.02622832	5.037515	0.16449	0.260099	0.0624964	0.191426	0.180299	0.141189	0.1372063	0.186527	0.186527	0.186527	0.186527	0.186527	0.186527	0.0686032	0.0686032	0.186527	0.186527	0.186527	0.186527	0.186527	0.186527	0.0686032	0.0686032	0.3730538	0.8696234	2.512735
2775	-5785.082	-5788.29	3.20859	0.006860457	0.111376	0.3394242	0.2652783	0	0.048592	0.0532288	0	0.332198	0.397712	0.006238622	0.6263245	0.161501	0.105016	0.0234926	0.0408794	0.50681	0.1623	0.1461773	0.19852	0.19852	0.19852	0.19852	0.19852	0.19852	0.0730886	0.0730886	0.19852	0.19852	0.19852	0.19852	0.19852	0.19852	0.0730886	0.0730886	0.3970399	0.8317309	2.674594
2850	-5782.644	-5785.622	2.977982	0.01293834	0.09554591	0.1515375	0.3327623	0	0.0151566	0.0206871	0	0.0623019	0.0763492	0.007875559	1.758666	0.0261909	0.245914	0.362354	0.182991	0.0691199	0.11343	0.1524532	0.182404	0.182404	0.182404	0.182404	0.182404	0.182404	0.0762266	0.0762266	0.182404	0.182404	0.182404	0.182404	0.182404	0.182404	0.0762266	0.0762266	0.3648082	0.1744948	2.493755
2925	-5784.177	-5787.095	2.918093	0.006733234	0.09628192	0.2983281	0.05090012	0	0.0599273	0.0695133	0	0.0958326	0.553584	0.007456062	1.350914	0.261752	0.206544	0.218722	0.13248	0.141367	0.0391343	0.0519614	0.210118	0.210118	0.210118	0.210118	0.210118	0.210118	0.0259807	0.0259807	0.210118	0.210118	0.210118	0.210118	0.210118	0.210118	0.0259807	0.0259807	0.4202362	0.7788569	2.62534
3000	-5781.489	-5784.394	2.905576	0.01020555	0.081496	0.3684609	0.1478446	0	0.0311741	0.0465787	0	0.296058	0.216534	0.00287594	0.5869992	0.184147	0.113244	0.20995	0.122734	0.251916	0.118008	0.08645459	0.198902	0.198902	0.198902	0.198902	0.198902	0.198902	0.0432273	0.0432273	0.198902	0.198902	0.198902	0.198902	0.198902	0.198902	0.0432273	0.0432273	0.3978042	0.5903443	2.559734
3075	-5788	-5785.132	-2.867248	0.008114549	0.09158618	1.026782	1.358092	0	0.0685341	0.0667121	0	0.0319353	0.283785	0.006342727	1.722569	0.599931	0.0485586	0.0144521	0.0308709	0.130696	0.175492	0.09603452	0.196686	0.196686	0.196686	0.196686	0.196686	0.196686	0.0480173	0.0480173	0.196686	0.196686	0.196686	0.196686	0.196686	0.196686	0.0480173	0.0480173	0.3933723	0.450966	2.552303
3150	-5786.882	-5789.706	2.82403	0.01226382	0.04771762	0.3204623	1.234624	0	0.0485457	0.0398682	0	0.190998	0.112156	0.009242019	1.064357	0.3497	0.115492	0.108431	0.0977675	0.0115781	0.317032	0.1245069	0.210362	0.210362	0.210362	0.210362	0.210362	0.210362	0.0622534	0.0622534	0.210362	0.210362	0.210362	0.210362	0.210362	0.210362	0.0622534	0.0622534	0.4207232	0.3915674	2.773353
3225	-5786.862	-5784.046	-2.815506	0.008841518	0.09263318	0.1179207	0.1273196	0	0.057988	0.0679823	0	0.264876	1.25654	0.002002216	1.717025	0.523236	0.0701903	0.256024	0.0920226	0.00741924	0.0511075	0.06790097	0.212239	0.212239	0.212239	0.212239	0.212239	0.212239	0.0339505	0.0339505	0.212239	0.212239	0.212239	0.212239	0.212239	0.212239	0.0339505	0.0339505	0.4244788	1.647385	2.682675
3300	-5783.68	-5785.353	1.672974	0.009300307	0.09211345	0.3963272	0.122427	0	0.0467488	0.0339621	0	0.0634113	0.170824	0.007935389	3.345871	0.277412	0.0549728	0.343644	0.176016	0.0952805	0.0526744	0.1624517	0.184879	0.184879	0.184879	0.184879	0.184879	0.184879	0.0812259	0.0812259	0.184879	0.184879	0.184879	0.184879	0.184879	0.184879	0.0812259	0.0812259	0.3697579	0.3149465	2.543451
3375	-5796.074	-5784.583	-11.49036	0.01734861	0.06974901	1.051448	1.518919	0	0.026379	0.0399531	0	0.763119	1.93099	0.01414085	6.133843	0.0393899	0.249951	0.17642	0.0557054	0.416698	0.0618349	0.09032222	0.198269	0.198269	0.198269	0.198269	0.198269	0.198269	0.0451611	0.0451611	0.198269	0.198269	0.198269	0.198269	0.198269	0.198269	0.0451611	0.0451611	0.3965381	2.760445	2.559873
3450	-5791.136	-5784.39	-6.745764	0.01606454	0.06245851	1.427009	2.562888	0	0.0171763	0.0314065	0	0.134202	0.254045	0.005056189	1.88888	0.0163226	0.347318	0.0374952	0.102847	0.0795434	0.416474	0.1683785	0.202996	0.202996	0.202996	0.202996	0.202996	0.202996	0.0841893	0.0841893	0.202996	0.202996	0.202996	0.202996	0.202996	0.202996	0.0841893	0.0841893	0.4059915	0.4368304	2.772706
3525	-5784.538	-5786.857	2.319833	0.00875959	0.08271051	0.121487	0.08850015	0	0.0407681	0.0405357	0	0.73776	0.201384	0.01625767	2.967942	0.0269451	0.170504	0.0526882	0.131227	0.124848	0.493788	0.0807303	0.204278	0.204278	0.204278	0.204278	0.204278	0.204278	0.0403652	0.0403652	0.204278	0.204278	0.204278	0.204278	0.204278	0.204278	0.0403652	0.0403652	0.4085564	1.020448	2.612799
3600	-5789.77	-5786.641	-3.129235	0.009672197	0.098495	0.03860943	1.20982	0	0.0424218	0.0177735	0	0.637471	0.631638	0.01447751	2.534948	0.0932489	0.114855	0.218964	0.171278	0.174388	0.227265	0.1257237	0.198107	0.198107	0.198107	0.198107	0.198107	0.198107	0.0628619	0.0628619	0.198107	0.198107	0.198107	0.198107	0.198107	0.198107	0.0628619	0.0628619	0.3962145	1.329304	2.628734
3675	-5781.954	-5786.122	4.168872	0.01121714	0.0642714	0.2520276	0.2588124	0	0.0431171	0.0552618	0	0.188117	0.104977	0.007994518	1.958791	0.0279202	0.148125	0.164819	0.255707	0.338626	0.0648029	0.1227877	0.200673	0.200673	0.200673	0.200673	0.200673	0.200673	0.0613939	0.0613939	0.200673	0.200673	0.200673	0.200673	0.200673	0.200673	0.0613939	0.0613939	0.4013455	0.3914728	2.653649
3750	-5789.286	-5787.872	-1.413528	0.00653364	0.09072629	0.1399885	0.5030439	0	0.0301581	0.0554527	0	0.458946	1.01336	0.01926847	2.702505	0.542763	0.0812662	0.0314363	0.185819	0.139351	0.019364	0.187839	0.188728	0.188728	0.188728	0.188728	0.188728	0.188728	0.0939195	0.0939195	0.188728	0.188728	0.188728	0.188728	0.188728	0.188728	0.0939195	0.0939195	0.377455	1.557918	2.640408
3825	-5788.616	-5787.57	-1.046087	0.0144069	0.1044412	0.06589242	0.847332	0	0.0459852	0.0362729	0	0.313352	0.491539	0.004515311	2.013168	0.0170417	0.356766	0.107327	0.129269	0.220301	0.169295	0.2461194	0.190291	0.190291	0.190291	0.190291	0.190291	0.190291	0.12306	0.12306	0.190291	0.190291	0.190291	0.190291	0.190291	0.190291	0.12306	0.12306	0.3805813	0.8871494	2.775727
3900	-5788.195	-5787.52	-0.6744971	0.01123147	0.07887214	0.1947497	0.1966725	0	0.0199882	0.0506782	0	0.213953	0.0626122	0.005477475	4.866326	0.0475634	0.483143	0.00686591	0.318592	0.0309684	0.112867	0.2185	0.172576	0.172576	0.172576	0.172576	0.172576	0.172576	0.10925	0.10925	0.172576	0.172576	0.172576	0.172576	0.172576	0.172576	0.10925	0.10925	0.3451514	0.347232	2.507908
3975	-5785.869	-5784.635	-1.233558	0.0115893	0.0598592	1.979078	0.6106103	0	0.0315571	0.104982	0	0.15182	0.0813115	0.003528287	0.7975276	0.0214931	0.031565	0.326471	0.32036	0.0926921	0.207419	0.08339469	0.196241	0.196241	0.196241	0.196241	0.196241	0.196241	0.0416973	0.0416973	0.196241	0.196241	0.196241	0.196241	0.196241	0.196241	0.0416973	0.0416973	0.3924817	0.3696713	2.52168
4050	-5786.443	-5788.863	2.419889	0.01241697	0.06260405	0.2655412	0.2882029	0	0.0424054	0.0249219	0	0.0308824	0.444382	0.01438561	2.378231	0.15948	0.0354262	0.134375	0.051149	0.0618098	0.55776	0.1627932	0.199641	0.199641	0.199641	0.199641	0.199641	0.199641	0.0813966	0.0813966	0.199641	0.199641	0.199641	0.199641	0.199641	0.199641	0.0813966	0.0813966	0.3992822	0.5425919	2.72128
4125	-5784.956	-5787.417	2.461052	0.01204469	0.0900634	0.472883	0.3201965	0	0.0584166	0.0711206	0	0.743321	0.239798	0.005232603	0.7168533	0.280849	0.222323	0.0495522	0.0368364	0.376106	0.0343336	0.1111342	0.21083	0.21083	0.21083	0.21083	0.21083	0.21083	0.0555671	0.0555671	0.21083	0.21083	0.21083	0.21083	0.21083	0.21083	0.0555671	0.0555671	0.4216598	1.112656	2.752227
4200	-5784.742	-5785.11	0.3684799	0.01018159	0.08657676	0.7830426	0.4717396	0	0.0362588	0.0457411	0	0.0607341	0.652261	0.01022149	1.670394	0.00430248	0.217626	0.126638	0.358304	0.255644	0.0374847	0.1364734	0.19265	0.19265	0.19265	0.19265	0.19265	0.19265	0.0682367	0.0682367	0.19265	0.19265	0.19265	0.19265	0.19265	0.19265	0.0682367	0.0682367	0.3852996	0.7949947	2.584744
4275	-5790.702	-5787.64	-3.061995	0.01168351	0.1007285	0.03013793	1.736109	0	0.0663781	0.0521354	0	0.906385	0.767657	0.01026345	1.637318	0.405158	0.161071	0.180256	0.199746	0.0171179	0.0366502	0.07458203	0.200729	0.200729	0.200729	0.200729	0.200729	0.200729	0.037291	0.037291	0.200729	0.200729	0.200729	0.200729	0.200729	0.200729	0.037291	0.037291	0.4014589	1.792556	2.557917
4350	-5789.196	-5785.3	-3.896514	0.00745642	0.07040149	0.7971955	1.148921	0	0.0274948	0.0488002	0	0.602481	0.115747	0.02259551	3.993163	0.60575	0.0855864	0.0570972	0.0878889	0.141848	0.0218288	0.1109362	0.195966	0.195966	0.195966	0.195966	0.195966	0.195966	0.0554681	0.0554681	0.195966	0.195966	0.195966	0.195966	0.195966	0.195966	0.0554681	0.0554681	0.3919327	0.7945233	2.573469
4425	-5784.558	-5785.872	1.314452	0.01051281	0.07566371	0.4085993	0.04367661	0	0.0406826	0.0816201	0	0.0744795	0.225813	0.005365966	2.84204	0.261931	0.167937	0.188233	0.0298497	0.248604	0.103446	0.14934	0.206236	0.206236	0.206236	0.206236	0.206236	0.206236	0.07467	0.07467	0.206236	0.206236	0.206236	0.206236	0.206236	0.206236	0.07467	0.07467	0.4124711	0.4225956	2.773507
4500	-5786.473	-5785.668	-0.805522	0.01573792	0.06838765	0.2213677	0.8399141	0	0.0399353	0.0575294	0	0.846248	0.485662	0.009639759	2.253106	0.147351	0.309655	0.038956	0.0438458	0.428379	0.0318131	0.1243301	0.196619	0.196619	0.196619	0.196619	0.196619	0.196619	0.0621651	0.0621651	0.196619	0.196619	0.196619	0.196619	0.196619	0.196619	0.0621651	0.0621651	0.3932373	1.429375	2.608084
