	Islands 			Wallace's line							
						values I combined 					
aegithina_lafresnayei_23213 	1		aegithina_lafresnayei_23213 	2		1 2					
Aegithina_tiphia 	1		Aegithina_tiphia 	2		1 2					
artamus_cinereus_6183 	0		artamus_cinereus_6183 	1		0 1	the geohisse with islands v. continents was coded like:				
Artamus_cyanopterus 	1		Artamus_cyanopterus 	1		1 1	0 = widespread				
Artamus_leucorhynchus 	0		Artamus_leucorhynchus 	0		0 0	1 = Continents				
Artamus_maximus 	1		Artamus_maximus 	1		1 1	2 = islands				
Artamus_minor 	1		Artamus_minor 	1		1 1					
Artamus_personatus 	1		Artamus_personatus 	1		1 1	this analysis wil be 				
Artamus_superciliosus 	1		Artamus_superciliosus 	1		1 1	0 = widespread (on both sides)				
Coracina_atriceps 	2		Coracina_atriceps 	1		2 1	1 = East of Wallace's line				
Coracina_bicolor 	2		Coracina_bicolor 	1		2 1	2 = West of Wallace's line				
Coracina_boyeri 	1		Coracina_boyeri 	1		1 1					
Coracina_caeruleogrisea 	1		Coracina_caeruleogrisea 	1		1 1	combined old data				
Coracina_caledonica 	2		Coracina_caledonica 	1		2 1	Islands	line	new data	this means	How many taxa in this category
Coracina_ingens 	2		Coracina_ingens 	1		2 1	2	1	0	island east of line	139
Coracina_larvata 	1		Coracina_larvata 	2		1 2	1	1	1	continent east of line	148
Coracina_leucopygia 	2		Coracina_leucopygia 	1		2 1	2	2	2	island west of line	63
Coracina_lineata 	0		Coracina_lineata 	1		0 1	1	2	3	continent west of line	315
Coracina_longicauda 	1		Coracina_longicauda 	1		1 1	0	0	(0 1 2 3)	continent and island east and west of line	12
Coracina_macei 	1		Coracina_macei 	2		1 2	0	1	(0 1)	continent and island east of line	34
Coracina_maxima 	1		Coracina_maxima 	1		1 1	0	2	(2 3)	coninent and island west of line	8
Coracina_novaehollandiae 	1		Coracina_novaehollandiae 	1		1 1	1	0	(1 3)	continent on both sides of line	ZERO
coracina_papuensis_27758 	0		coracina_papuensis_27758 	1		0 1	2	0	(0 2)	island on both sides of line	ZERO
Coracina_parvulum 	2		Coracina_parvulum 	1		2 1					
Coracina_schistacea 	2		Coracina_schistacea 	1		2 1					
Coracina_striata 	0		Coracina_striata 	2		0 2					
Coracina_temminckii 	2		Coracina_temminckii 	1		2 1					
Coracina_welchmani 	2		Coracina_welchmani 	1		2 1					
Lalage_atrovirens 	0		Lalage_atrovirens 	1		0 1					
Lalage_fimbriata 	1		Lalage_fimbriata 	2		1 2					
Lalage_leucomela 	0		Lalage_leucomela 	1		0 1					
Lalage_leucopyga 	2		Lalage_leucopyga 	1		2 1					
Lalage_leucopygialis 	2		Lalage_leucopygialis 	1		2 1					
Ceblepyris_pectoralis 	1		Ceblepyris_pectoralis 	2		1 2					
Celebesica_abbotti 	2		Celebesica_abbotti 	1		2 1					
Cyanograucalus_azureus 	1		Cyanograucalus_azureus 	2		1 2					
Pericrocotus_solaris 	1		Pericrocotus_solaris 	2		1 2					
Pericrocotus_albifrons 	1		Pericrocotus_albifrons 	2		1 2					
Edolisoma_admiralitatis 	2		Edolisoma_admiralitatis 	1		2 1					
Edolisoma_anale 	2		Edolisoma_anale 	1		2 1					
Edolisoma_sula 	2		Edolisoma_sula 	1		2 1					
edolisoma_tenuirostre_23644 	0		edolisoma_tenuirostre_23644 	1		0 1					
Ceblepyris_caesius 	1		Ceblepyris_caesius 	2		1 2					
Edolisoma_holopolium 	2		Edolisoma_holopolium 	1		2 1					
Edolisoma_incertum 	1		Edolisoma_incertum 	1		1 1					
Lalage_melanoleuca 	2		Lalage_melanoleuca 	2		2 2					
Lalage_melanoptera 	1		Lalage_melanoptera 	2		1 2					
Lalage_melaschistos 	1		Lalage_melaschistos 	2		1 2					
Lalage_newtoni 	2		Lalage_newtoni 	2		2 2					
Lalage_nigra 	0		Lalage_nigra 	2		0 2					
Lalage_polioptera 	1		Lalage_polioptera 	2		1 2					
Lalage_sharpei 	2		Lalage_sharpei 	1		2 1					
Lalage_sueurii 	0		Lalage_sueurii 	0		0 0					
Lalage_tricolor 	1		Lalage_tricolor 	1		1 1					
Lalage_typica 	2		Lalage_typica 	2		2 2					
Campephaga_flava 	1		Campephaga_flava 	2		1 2					
Campephaga_petiti 	1		Campephaga_petiti 	2		1 2					
Campochaera_sloetii	1		Campochaera_sloetii	1		1 1					
Lobotos_oriolinus 	1		Lobotos_oriolinus 	2		1 2					
Malindangia_mcgregori 	2		Malindangia_mcgregori 	2		2 2					
Pericrocotus_brevirostris 	1		Pericrocotus_brevirostris 	2		1 2					
Pericrocotus_cantonensis 	1		Pericrocotus_cantonensis 	2		1 2					
Pericrocotus_cinnamomeus 	1		Pericrocotus_cinnamomeus 	2		1 2					
pericrocotus_divaricatus_10261 	1		pericrocotus_divaricatus_10261 	2		1 2					
Pericrocotus_erythropygius 	1		Pericrocotus_erythropygius 	2		1 2					
Pericrocotus_roseus 	1		Pericrocotus_roseus 	2		1 2					
Ceblepyris_graueri 	1		Ceblepyris_graueri 	2		1 2					
Edolisoma_ceramense 	2		Edolisoma_ceramense 	1		2 1					
Edolisoma_coerulescens 	2		Edolisoma_coerulescens 	2		2 2					
Edolisoma_dispar 	2		Edolisoma_dispar 	1		2 1					
Edolisoma_dohertyi 	2		Edolisoma_dohertyi 	1		2 1					
Edolisoma_remotum 	2		Edolisoma_remotum 	1		2 1					
