Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	rate_01	rate_02	rate_03	rate_10	rate_12	rate_13	rate_20	rate_21	rate_23	rate_30	rate_31	rate_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]
50	-5712.77	-5732.37	19.6029	0.22348	0.0177834	0.134612	0.0540092	-1.49843	-4.02949	-2.00536	-2.9186	-0.822785	-1.84107	-1.36018	-1.37095	0.05435238	0.01056792	0.0192608	0.0106382	0.0002476186	5.443664e-05	0.0007114735	6.061371e-05	0.0001227669	0.002734441	0.00100531	0.006776985	0.654024	0.0331828	0.126309	0.186483	0.439207	0.158648	0.256616	0.253866
100	-5706.06	-5731.58	25.5172	0.161234	0.0188385	0.0686875	0.0184925	-1.8249	-3.97185	-2.67819	-3.99039	-0.88329	-1.8255	-1.78456	-1.44006	0.03923005	0.01301767	0.0160051	0.006796679	6.917605e-05	1.12463e-05	0.0005031891	0.0001628173	0.0001939287	0.0008181059	0.0003253265	0.0130274	0.441743	0.0939178	0.124948	0.339391	0.41342	0.161137	0.16787	0.236914
150	-5711.45	-5722.27	10.8238	0.139156	0.0392841	0.0844723	0.0238002	-1.97216	-3.23694	-2.47133	-3.73806	-0.903558	-1.869	-1.92267	-1.48129	0.06586303	0.01207565	0.01891828	0.003864124	0.0003959398	0.0001635316	0.00100269	0.001205248	0.001733901	0.004926929	0.000209211	0.01140704	0.499795	0.270736	0.220819	0.00864963	0.405126	0.154277	0.146215	0.227344
200	-5709.52	-5725.23	15.7104	0.118468	0.0798596	0.0463994	0.0276942	-2.13311	-2.52749	-3.07047	-3.58653	-0.922762	-1.63759	-1.62488	-1.43944	0.072344	0.007535898	0.01792593	0.00166503	0.0005731855	6.07374e-05	0.0006294496	0.001124361	0.002413335	0.003651344	1.491085e-05	0.00874737	0.416804	0.0992533	0.468177	0.0157654	0.39742	0.194448	0.196935	0.237061
250	-5710.93	-5732.41	21.4718	0.209159	0.0652977	0.0422134	0.019767	-1.56466	-2.7288	-3.16502	-3.92374	-0.820051	-1.66243	-1.90878	-1.50502	0.04771371	0.008204538	0.01047409	0.004973487	0.0002235681	0.0002767992	0.00114926	0.007155074	0.002267377	0.004128058	6.963379e-06	0.007887422	0.502334	0.0107569	0.478633	0.00827638	0.440409	0.189678	0.148261	0.222014
300	-5710.3	-5723.72	13.4196	0.0855843	0.0546347	0.0571507	0.0139907	-2.45825	-2.90709	-2.86206	-4.26936	-0.919125	-1.805	-1.66888	-1.56524	0.05832973	0.01310233	0.01683621	0.005217671	0.001771689	4.038346e-05	0.0003018065	0.0005967311	0.001321803	0.002712448	0.0003163107	0.01340492	0.655627	0.0382441	0.197674	0.108456	0.398868	0.164475	0.188458	0.209038
350	-5708.16	-5727.3	19.1343	0.152272	0.0428556	0.0692216	0.0124939	-1.88208	-3.14992	-2.67044	-4.38251	-0.862139	-1.87231	-1.90127	-1.48825	0.04992543	0.01449585	0.01373971	0.005771384	0.0008963722	0.0006020729	0.0002772769	8.519214e-05	0.0002158249	0.0016824	0.0007182776	0.01142058	0.326903	0.0836178	0.449757	0.139723	0.422258	0.153768	0.149379	0.225767
400	-5712.8	-5735.62	22.8118	0.121842	0.0606808	0.0463463	0.0101493	-2.10503	-2.80213	-3.07161	-4.59035	-1.1244	-1.7364	-1.6999	-1.46326	0.04502844	0.009561365	0.01919193	0.006102107	0.0002725603	4.365075e-05	0.001102747	0.002693143	0.0001111891	0.001080324	1.997584e-05	0.008786746	0.35245	0.159037	0.050438	0.438076	0.324846	0.176154	0.182701	0.23148
450	-5711.14	-5729.34	18.198	0.10273	0.0260038	0.0523867	0.0106621	-2.27566	-3.64951	-2.9491	-4.54106	-0.851911	-1.82652	-1.57328	-1.54673	0.04894969	0.004541523	0.02199061	0.01420014	2.054287e-05	5.172245e-05	0.0001357333	0.00182396	8.45551e-06	0.002949968	0.0004468104	0.01292902	0.630029	0.11943	0.125655	0.124886	0.426599	0.160973	0.207364	0.212944
500	-5708.35	-5723.8	15.448	0.0900623	0.0163261	0.123948	0.0102585	-2.40725	-4.11499	-2.08789	-4.57965	-0.94521	-1.83665	-1.73532	-1.52673	0.0602129	0.01263323	0.01758933	0.002660511	0.0001428258	0.0001200788	0.001125506	0.0007862412	3.797913e-05	0.002224078	0.0001725173	0.01216847	0.553764	0.190393	0.0974633	0.15838	0.388598	0.15935	0.176343	0.217244
